"","global_level","date","cases","new_cases","deaths","new_deaths","days_since_death1","days_since_case1","per100k","deathper100k","newper100k"
"1","Global",2020-01-22,555,555,17,17,1,1,0.01,0,0.01
"2","Global",2020-01-23,654,99,18,1,2,2,0.01,0,0
"3","Global",2020-01-24,941,287,26,8,3,3,0.01,0,0
"4","Global",2020-01-25,1434,493,42,16,4,4,0.02,0,0.01
"5","Global",2020-01-26,2118,684,56,14,5,5,0.03,0,0.01
"6","Global",2020-01-27,2927,809,82,26,6,6,0.04,0,0.01
"7","Global",2020-01-28,5578,2651,131,49,7,7,0.07,0,0.03
"8","Global",2020-01-29,6166,588,133,2,8,8,0.08,0,0.01
"9","Global",2020-01-30,8234,2068,171,38,9,9,0.1,0,0.03
"10","Global",2020-01-31,9927,1693,213,42,10,10,0.12,0,0.02
"11","Global",2020-02-01,12038,2111,259,46,11,11,0.15,0,0.03
"12","Global",2020-02-02,16787,4749,362,103,12,12,0.21,0,0.06
"13","Global",2020-02-03,19881,3094,426,64,13,13,0.25,0.01,0.04
"14","Global",2020-02-04,23892,4011,492,66,14,14,0.3,0.01,0.05
"15","Global",2020-02-05,27635,3743,564,72,15,15,0.35,0.01,0.05
"16","Global",2020-02-06,30794,3159,634,70,16,16,0.38,0.01,0.04
"17","Global",2020-02-07,34391,3597,719,85,17,17,0.43,0.01,0.04
"18","Global",2020-02-08,37120,2729,806,87,18,18,0.46,0.01,0.03
"19","Global",2020-02-09,40150,3030,906,100,19,19,0.5,0.01,0.04
"20","Global",2020-02-10,42762,2612,1013,107,20,20,0.53,0.01,0.03
"21","Global",2020-02-11,44802,2040,1113,100,21,21,0.56,0.01,0.03
"22","Global",2020-02-12,45221,419,1118,5,22,22,0.57,0.01,0.01
"23","Global",2020-02-13,60368,15147,1371,253,23,23,0.75,0.02,0.19
"24","Global",2020-02-14,66885,6517,1523,152,24,24,0.84,0.02,0.08
"25","Global",2020-02-15,69030,2145,1666,143,25,25,0.86,0.02,0.03
"26","Global",2020-02-16,71224,2194,1770,104,26,26,0.89,0.02,0.03
"27","Global",2020-02-17,73258,2034,1868,98,27,27,0.92,0.02,0.03
"28","Global",2020-02-18,75136,1878,2007,139,28,28,0.94,0.03,0.02
"29","Global",2020-02-19,75639,503,2122,115,29,29,0.95,0.03,0.01
"30","Global",2020-02-20,76197,558,2247,125,30,30,0.95,0.03,0.01
"31","Global",2020-02-21,76819,622,2251,4,31,31,0.96,0.03,0.01
"32","Global",2020-02-22,78572,1753,2458,207,32,32,0.98,0.03,0.02
"33","Global",2020-02-23,78958,386,2469,11,33,33,0.99,0.03,0
"34","Global",2020-02-24,79561,603,2629,160,34,34,0.99,0.03,0.01
"35","Global",2020-02-25,80406,845,2708,79,35,35,1.01,0.03,0.01
"36","Global",2020-02-26,81388,982,2770,62,36,36,1.02,0.03,0.01
"37","Global",2020-02-27,82746,1358,2814,44,37,37,1.03,0.04,0.02
"38","Global",2020-02-28,84112,1366,2872,58,38,38,1.05,0.04,0.02
"39","Global",2020-02-29,86011,1899,2941,69,39,39,1.08,0.04,0.02
"40","Global",2020-03-01,88369,2358,2996,55,40,40,1.1,0.04,0.03
"41","Global",2020-03-02,90306,1937,3085,89,41,41,1.13,0.04,0.02
"42","Global",2020-03-03,92840,2534,3160,75,42,42,1.16,0.04,0.03
"43","Global",2020-03-04,95120,2280,3254,94,43,43,1.19,0.04,0.03
"44","Global",2020-03-05,97886,2766,3347,93,44,44,1.22,0.04,0.03
"45","Global",2020-03-06,101801,3915,3459,112,45,45,1.27,0.04,0.05
"46","Global",2020-03-07,105847,4046,3558,99,46,46,1.32,0.04,0.05
"47","Global",2020-03-08,109821,3974,3801,243,47,47,1.37,0.05,0.05
"48","Global",2020-03-09,113590,3769,3987,186,48,48,1.42,0.05,0.05
"49","Global",2020-03-10,118620,5030,4263,276,49,49,1.48,0.05,0.06
"50","Global",2020-03-11,125875,7255,4614,351,50,50,1.57,0.06,0.09
