"","country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","days_since_case1","days_since_death1"
"11586","USA",2020-05-06,106,1228603,24252,73431,2367,189910,119,965262,371.2,7.3,291.6,106,68
"11587","Spain",2020-05-06,106,220325,996,25857,244,126002,2516,68466,471.2,2.1,146.4,96,65
"11588","Italy",2020-05-06,106,214457,1444,29684,369,93245,8014,91528,354.7,2.4,151.4,97,76
"11589","UK",2020-05-06,106,202359,6116,30150,649,934,8,171275,298.1,9,252.3,97,62
"11590","France",2020-05-06,106,174224,3537,25812,275,54079,1237,94333,266.9,5.4,144.5,104,82
"11591","Germany",2020-05-06,106,168162,1155,7275,282,139900,4800,20987,200.7,1.4,25,101,59
"11592","Russia",2020-05-06,106,165929,10559,1537,86,21327,1462,143065,113.7,7.2,98,97,49
"11593","Turkey",2020-05-06,106,131744,2253,3584,64,78202,4917,49958,156.2,2.7,59.2,57,51
"11594","Brazil",2020-05-06,106,126611,11156,8588,650,51370,3149,66653,59.6,5.2,31.4,71,51
"11595","Iran (Islamic Republic of)",2020-05-06,106,101650,1680,6418,78,81587,1112,13645,121,2,16.2,78,78
"11596","Mainland China",2020-05-06,106,84409,3,4643,0,79268,64,498,5.9,0,0,106,106
"11597","Canada",2020-05-06,106,64694,1479,4366,176,28184,1178,32144,171.4,3.9,85.2,102,59
"11598","Peru",2020-05-06,106,54817,3628,1533,89,17527,2114,35757,166.3,11,108.4,62,48
"11599","India",2020-05-06,106,52987,3587,1785,92,15331,1189,35871,3.8,0.3,2.6,98,57
"11600","Belgium",2020-05-06,106,50781,272,8339,323,12731,290,29711,438.1,2.3,256.4,93,57
"11601","Netherlands",2020-05-06,106,41518,232,5221,36,146,7,36151,242.3,1.4,211,70,62
"11602","Saudi Arabia",2020-05-06,106,31938,1687,209,9,6783,1352,24946,91.7,4.8,71.7,66,44
"11603","Ecuador",2020-05-06,106,31881,0,1618,49,3433,0,26830,180.7,0,152.1,67,54
"11604","Switzerland",2020-05-06,106,30060,51,1805,10,25700,300,2555,347.3,0.6,29.5,72,63
"11605","Mexico",2020-05-06,106,27634,1609,2704,197,17781,971,7149,21.4,1.2,5.5,69,49
"11606","Portugal",2020-05-06,106,26182,480,1089,15,2076,333,23017,256.8,4.7,225.7,66,51
"11607","Pakistan",2020-05-06,106,24073,2024,564,50,6464,663,17045,10.9,0.9,7.7,71,49
"11608","Sweden",2020-05-06,106,23918,702,2941,87,4074,0,16903,236.8,7,167.4,97,57
"11609","Chile",2020-05-06,106,23048,1032,281,6,11189,479,11578,120.6,5.4,60.6,65,46
"11610","Ireland",2020-05-06,106,22248,265,1375,36,17110,3724,3763,450.5,5.4,76.2,68,57
"11611","Singapore",2020-05-06,106,20198,788,20,2,1634,115,18544,345.3,13.5,317,105,47
"11612","Belarus",2020-05-06,106,19255,905,112,5,4388,617,14755,203.8,9.6,156.2,69,37
"11613","Qatar",2020-05-06,106,17972,830,12,0,2070,146,15890,623.8,28.8,551.5,68,40
"11614","Israel",2020-05-06,106,16310,21,239,1,10637,172,5434,188.4,0.2,62.8,76,47
"11615","United Arab Emirates",2020-05-06,106,15738,546,157,11,3359,206,12222,159.1,5.5,123.6,99,48
"11616","Austria",2020-05-06,106,15684,34,608,2,13639,177,1437,174.2,0.4,16,72,56
"11617","Japan",2020-05-06,106,15253,0,556,0,4496,0,10201,12.1,0,8.1,106,84
"11618","Poland",2020-05-06,106,14740,309,733,17,4655,375,9352,38.9,0.8,24.7,64,56
"11619","Romania",2020-05-06,106,14107,270,864,23,5788,334,7455,73.3,1.4,38.8,71,46
"11620","Ukraine",2020-05-06,106,13184,487,327,11,2097,222,10760,30.1,1.1,24.6,65,55
"11621","Indonesia",2020-05-06,106,12438,367,895,23,2317,120,9226,4.5,0.1,3.4,66,57
"11622","Bangladesh",2020-05-06,106,11719,790,186,3,1403,0,10130,7.1,0.5,6.2,60,50
"11623","Republic of Korea",2020-05-06,106,10810,4,256,1,9419,86,1135,21.1,0,2.2,106,77
"11624","Denmark",2020-05-06,106,10136,117,506,3,7689,197,1941,175,2,33.5,70,54
"11625","Philippines",2020-05-06,106,10004,320,658,21,1506,98,7840,9.1,0.3,7.2,98,95
"11626","Serbia",2020-05-06,106,9791,114,203,3,1971,248,7617,112.1,1.3,87.2,62,48
"11627","Colombia",2020-05-06,106,8959,346,397,19,2148,135,6414,17.6,0.7,12.6,62,46
"11628","Dominican Republic",2020-05-06,106,8807,327,362,8,1960,55,6485,81.2,3,59.8,67,51
"11629","Norway",2020-05-06,106,7996,41,216,1,32,0,7748,147.5,0.8,142.9,71,54
"11630","Czech Republic",2020-05-06,106,7974,78,262,5,4205,199,3507,74.5,0.7,32.7,67,46
"11631","South Africa",2020-05-06,106,7808,236,153,5,3153,407,4502,13.2,0.4,7.6,63,41
"11632","Panama",2020-05-06,106,7731,208,218,8,859,36,6654,179.2,4.8,154.2,58,57
"11633","Egypt",2020-05-06,106,7588,387,469,17,1815,85,5304,7.4,0.4,5.2,83,60
"11634","Australia",2020-05-06,106,6894,19,97,0,6031,56,766,27,0.1,3,102,67
"11635","Malaysia",2020-05-06,106,6428,45,107,1,4702,135,1619,19.9,0.1,5,103,51
"11636","Kuwait",2020-05-06,106,6289,485,42,2,2219,187,4028,147.2,11.4,94.3,73,33
"11637","Finland",2020-05-06,106,5573,161,252,6,3500,0,1821,100.6,2.9,32.9,99,47
"11638","Morocco",2020-05-06,106,5408,189,183,2,2017,179,3208,14.7,0.5,8.7,66,58
"11639","Argentina",2020-05-06,106,5208,188,273,9,1524,52,3411,11.5,0.4,7.5,65,60
"11640","Algeria",2020-05-06,106,4997,159,476,6,2197,130,2324,11.4,0.4,5.3,72,56
"11641","Moldova, Republic of",2020-05-06,106,4476,113,143,7,1658,114,2675,111,2.8,66.3,60,50
"11642","Kazakhstan",2020-05-06,106,4422,217,30,1,1408,129,2984,23.6,1.2,15.9,55,43
"11643","Bahrain",2020-05-06,106,3934,214,8,0,1860,98,2066,231.1,12.6,121.4,73,52
"11644","Luxembourg",2020-05-06,106,3851,11,98,2,3452,40,301,615.2,1.8,48.1,68,54
"11645","Afghanistan",2020-05-06,106,3392,168,104,9,458,37,2830,8.7,0.4,7.3,73,46
"11646","Nigeria",2020-05-06,106,3145,195,103,5,534,53,2508,1.5,0.1,1.2,69,45
"11647","Hungary",2020-05-06,106,3111,46,373,10,759,50,1979,32.2,0.5,20.5,64,53
"11648","Ghana",2020-05-06,106,3091,372,18,0,294,0,2779,9.9,1.2,8.9,54,47
"11649","Thailand",2020-05-06,106,2989,1,55,1,2761,14,173,4.3,0,0.2,106,67
"11650","Oman",2020-05-06,106,2903,168,13,0,888,30,2002,56.8,3.3,39.2,73,37
"11651","Armenia",2020-05-06,106,2782,163,40,0,1135,24,1607,93.9,5.5,54.2,67,42
"11652","Greece",2020-05-06,106,2663,21,147,1,1374,0,1142,25.5,0.2,11,71,57
"11653","Iraq",2020-05-06,106,2480,49,102,0,1602,31,776,6.2,0.1,1.9,73,64
"11654","Cameroon",2020-05-06,106,2265,161,108,44,1000,47,1157,8.5,0.6,4.4,62,43
"11655","Uzbekistan",2020-05-06,106,2233,26,10,0,1577,76,646,6.7,0.1,1.9,53,41
"11656","Azerbaijan",2020-05-06,106,2127,67,28,2,1536,28,563,21,0.7,5.6,67,55
"11657","Croatia",2020-05-06,106,2119,7,85,2,1601,41,433,51.6,0.2,10.5,72,49
"11658","Bosnia and Herzegovina",2020-05-06,106,1987,41,86,7,928,17,973,60.6,1.2,29.7,63,47
"11659","Bolivia",2020-05-06,106,1886,84,91,5,198,11,1597,16.2,0.7,13.7,57,39
"11660","Guinea",2020-05-06,106,1856,45,11,1,597,99,1248,14.1,0.3,9.5,55,22
"11661","Iceland",2020-05-06,106,1799,0,10,0,1750,17,39,527.6,0,11.4,69,51
"11662","Bulgaria",2020-05-06,106,1778,74,84,4,360,18,1334,25.6,1.1,19.2,60,57
"11663","Estonia",2020-05-06,106,1713,2,55,0,264,3,1394,129.1,0.2,105,70,43
"11664","Cuba",2020-05-06,106,1703,18,69,0,1001,47,633,15,0.2,5.6,56,50
"11665","North Macedonia",2020-05-06,106,1539,13,88,2,1057,44,394,73.9,0.6,18.9,71,46
"11666","Cote d'Ivoire",2020-05-06,106,1516,52,18,0,721,20,777,5.7,0.2,2.9,57,39
"11667","New Zealand",2020-05-06,106,1489,1,21,0,1332,16,136,30.9,0,2.8,69,39
"11668","Honduras",2020-05-06,106,1461,191,99,6,132,10,1230,14.8,1.9,12.4,57,42
"11669","Slovenia",2020-05-06,106,1448,3,99,1,246,2,1103,69.6,0.1,53.1,63,54
"11670","Senegal",2020-05-06,106,1433,104,12,1,493,23,928,8.6,0.6,5.5,66,36
"11671","Slovakia",2020-05-06,106,1429,8,25,0,762,21,642,26.2,0.1,11.8,62,40
"11672","Lithuania",2020-05-06,106,1428,5,48,2,718,40,662,52.5,0.2,24.3,69,47
"11673","Djibouti",2020-05-06,106,1124,4,3,1,755,10,366,113.8,0.4,37,50,27
"11674","Tunisia",2020-05-06,106,1025,3,43,0,591,109,391,8.7,0,3.3,64,49
"11675","Latvia",2020-05-06,106,900,4,17,0,464,116,419,47.7,0.2,22.2,66,34
"11676","Cyprus",2020-05-06,106,883,5,15,0,296,0,572,73.2,0.4,47.4,59,46
"11677","Somalia",2020-05-06,106,873,38,39,1,87,12,747,5.5,0.2,4.7,52,29
"11678","Kyrgyzstan",2020-05-06,106,871,28,12,1,614,14,245,13.4,0.4,3.8,50,34
"11679","Kosovo",2020-05-06,106,856,0,26,0,490,0,340,47.6,0,18.9,42,42
"11680","Sudan",2020-05-06,106,852,74,49,4,80,10,723,1.9,0.2,1.6,55,55
"11681","Albania",2020-05-06,106,832,12,31,0,595,25,206,28.9,0.4,7.2,59,57
"11682","Guatemala",2020-05-06,106,798,35,21,2,86,7,691,4.5,0.2,3.9,54,52
"11683","Democratic Republic of the Congo",2020-05-06,106,797,92,35,1,92,2,670,0.9,0.1,0.7,57,47
"11684","Sri Lanka",2020-05-06,106,797,26,9,0,215,2,573,3.7,0.1,2.7,101,40
"11685","Niger",2020-05-06,106,770,7,38,0,561,18,171,3.2,0,0.7,48,43
"11686","Costa Rica",2020-05-06,106,761,6,6,0,428,15,327,14.9,0.1,6.4,62,49
"11687","Andorra",2020-05-06,106,751,0,46,0,521,7,184,975.3,0,239,66,46
"11688","Lebanon",2020-05-06,106,750,9,25,0,206,0,519,11,0.1,7.6,76,58
"11689","Burkina Faso",2020-05-06,106,729,41,48,0,555,7,126,3.5,0.2,0.6,58,50
"11690","Diamond Princess Cruise Ship",2020-05-06,106,712,0,13,0,645,0,54,NA,NA,NA,90,77
"11691","Uruguay",2020-05-06,106,673,3,17,0,486,18,170,19.4,0.1,4.9,54,39
"11692","El Salvador",2020-05-06,106,633,46,15,1,219,14,399,9.8,0.7,6.2,49,37
"11693","Mali",2020-05-06,106,631,19,32,0,261,33,338,3.1,0.1,1.7,43,39
"11694","Maldives",2020-05-06,106,617,44,2,0,20,0,595,114,8.1,110,60,8
"11695","Georgia",2020-05-06,106,610,6,9,0,269,29,332,15.3,0.2,8.3,71,33
"11696","San Marino",2020-05-06,106,608,19,41,0,97,5,470,1788.2,55.9,1382.4,70,65
"11697","Kenya",2020-05-06,106,582,47,26,2,190,8,366,1.1,0.1,0.7,55,42
"11698","Malta",2020-05-06,106,484,2,5,0,407,4,72,109.5,0.5,16.3,61,29
"11699","Tanzania, United Republic of",2020-05-06,106,480,0,16,0,167,0,297,0.8,0,0.5,52,37
"11700","Jamaica",2020-05-06,106,478,5,9,0,57,1,412,16.1,0.2,13.9,57,49
"11701","Guinea-Bissau",2020-05-06,106,475,62,2,1,24,5,449,24.1,3.2,22.8,43,11
"11702","Jordan",2020-05-06,106,473,2,9,0,377,2,87,4.6,0,0.9,65,41
"11703","Paraguay",2020-05-06,106,440,9,10,0,142,7,288,6.2,0.1,4,60,47
"11704","Equatorial Guinea",2020-05-06,106,439,124,4,1,13,0,422,31.3,8.8,30.1,53,15
"11705","Gabon",2020-05-06,106,397,0,6,0,93,0,298,17.8,0,13.4,54,48
"11706","Tajikistan",2020-05-06,106,379,86,8,3,0,0,371,4,0.9,3.9,7,5
"11707","Venezuela",2020-05-06,106,379,18,10,0,176,18,193,1.3,0.1,0.7,54,41
"11708","West Bank and Gaza",2020-05-06,106,374,3,2,0,174,47,198,7.8,0.1,4.1,63,42
"11709","Mauritius",2020-05-06,106,332,0,10,0,320,1,2,26.1,0,0.2,50,47
"11710","Montenegro",2020-05-06,106,324,0,8,0,261,8,55,51.6,0,8.8,51,45
"11711","Vietnam",2020-05-06,106,271,0,0,0,232,0,39,0.3,0,0,105,0
"11712","Rwanda",2020-05-06,106,268,7,0,0,130,1,138,2.1,0.1,1.1,54,0
"11713","Republic of the Congo",2020-05-06,106,264,28,10,0,30,4,224,4.8,0.5,4.1,53,35
"11714","Sierra Leone",2020-05-06,106,225,26,14,3,54,11,157,2.8,0.3,2,37,14
"11715","Cape Verde",2020-05-06,106,191,5,2,0,38,1,151,34.4,0.9,27.2,48,44
"11716","Liberia",2020-05-06,106,178,8,20,0,75,17,83,3.5,0.2,1.6,52,33
"11717","Sao Tome and Principe",2020-05-06,106,174,0,3,0,4,0,167,79.5,0,76.3,31,6
"11718","Chad",2020-05-06,106,170,0,17,0,43,0,110,1,0,0.7,49,9
"11719","Ethiopia",2020-05-06,106,162,17,4,0,93,2,65,0.1,0,0.1,55,32
"11720","Burma",2020-05-06,106,161,0,6,0,50,1,105,0.3,0,0.2,41,37
"11721","Madagascar",2020-05-06,106,158,7,0,0,101,0,57,0.6,0,0.2,48,0
"11722","Zambia",2020-05-06,106,146,8,4,1,101,9,41,0.8,0,0.2,50,35
"11723","Brunei",2020-05-06,106,139,1,1,0,131,0,7,31.8,0.2,1.6,59,40
"11724","Togo",2020-05-06,106,128,0,9,0,77,3,42,1.5,0,0.5,62,41
"11725","Eswatini",2020-05-06,106,123,4,2,1,12,0,109,10.6,0.3,9.4,54,21
"11726","Cambodia",2020-05-06,106,122,0,0,0,120,0,2,0.7,0,0,101,0
"11727","Trinidad and Tobago",2020-05-06,106,116,0,8,0,103,0,5,8.3,0,0.4,54,43
"11728","Haiti",2020-05-06,106,101,0,12,0,10,0,79,0.9,0,0.7,48,32
"11729","Uganda",2020-05-06,106,100,2,0,0,55,0,45,0.2,0,0.1,47,0
"11730","Nepal",2020-05-06,106,99,17,0,0,22,6,77,0.3,0.1,0.3,103,0
"11731","Benin",2020-05-06,106,96,0,2,0,50,0,44,0.8,0,0.4,52,31
"11732","Monaco",2020-05-06,106,95,0,4,0,82,1,9,243.6,0,23.1,68,39
"11733","Central African Republic",2020-05-06,106,94,9,0,0,10,0,84,1.9,0.2,1.7,53,0
"11734","Guyana",2020-05-06,106,93,0,10,0,27,0,56,11.8,0,7.1,56,56
"11735","The Bahamas",2020-05-06,106,92,3,11,0,26,0,55,23.4,0.8,14,52,36
"11736","Barbados",2020-05-06,106,82,0,7,0,47,0,28,28.6,0,9.8,51,32
"11737","Liechtenstein",2020-05-06,106,82,0,1,0,55,0,26,215.8,0,68.4,64,33
"11738","Mozambique",2020-05-06,106,81,0,0,0,21,2,60,0.3,0,0.2,46,0
"11739","Libya",2020-05-06,106,64,1,3,0,24,1,37,0.9,0,0.5,44,35
"11740","South Sudan",2020-05-06,106,58,6,0,0,0,0,58,0.5,0.1,0.5,32,0
"11741","Syria",2020-05-06,106,45,1,3,0,27,0,15,0.3,0,0.1,46,39
"11742","Malawi",2020-05-06,106,43,2,3,0,9,0,31,0.2,0,0.2,35,30
"11743","Mongolia",2020-05-06,106,41,0,0,0,13,0,28,1.3,0,0.9,58,0
"11744","Eritrea",2020-05-06,106,39,0,0,0,30,0,9,1.1,0,0.3,47,0
"11745","Angola",2020-05-06,106,36,0,2,0,11,0,23,0.1,0,0.1,48,39
"11746","Zimbabwe",2020-05-06,106,34,0,4,0,5,0,25,0.2,0,0.2,48,45
"11747","Antigua and Barbuda",2020-05-06,106,25,0,3,0,16,0,6,25.5,0,6.1,55,30
"11748","Yemen",2020-05-06,106,25,3,5,1,1,0,19,0.1,0,0.1,27,7
"11749","Timor-Leste",2020-05-06,106,24,0,0,0,20,0,4,1.8,0,0.3,46,0
"11750","Botswana",2020-05-06,106,23,0,1,0,8,0,14,1,0,0.6,38,37
"11751","Grenada",2020-05-06,106,21,0,0,0,13,0,8,18.6,0,7.1,46,0
"11752","Lao People's Democratic Republic",2020-05-06,106,19,0,0,0,10,1,9,0.3,0,0.1,44,0
"11753","Belize",2020-05-06,106,18,0,2,0,16,0,0,4.5,0,0,45,31
"11754","Fiji",2020-05-06,106,18,0,0,0,14,0,4,2,0,0.4,49,0
"11755","Saint Lucia",2020-05-06,106,18,0,0,0,15,0,3,9.8,0,1.6,54,0
"11756","Saint Vincent and the Grenadines",2020-05-06,106,17,0,0,0,9,0,8,15.3,0,7.2,54,0
"11757","The Gambia",2020-05-06,106,17,0,1,0,9,0,7,0.7,0,0.3,51,45
"11758","Dominica",2020-05-06,106,16,0,0,0,14,0,2,22.2,0,2.8,46,0
"11759","Namibia",2020-05-06,106,16,0,0,0,8,0,8,0.6,0,0.3,54,0
"11760","Nicaragua",2020-05-06,106,16,0,5,0,7,0,4,0.2,0,0.1,49,41
"11761","Burundi",2020-05-06,106,15,0,1,0,7,0,7,0.1,0,0.1,37,24
"11762","Saint Kitts and Nevis",2020-05-06,106,15,0,0,0,12,0,3,28.3,0,5.7,43,0
"11763","Holy See (Vatican City)",2020-05-06,106,12,1,0,0,2,0,10,1200,100,1000,62,0
"11764","Seychelles",2020-05-06,106,11,0,0,0,8,0,3,11.2,0,3.1,54,0
"11765","Suriname",2020-05-06,106,10,0,1,0,9,0,0,1.7,0,0,54,34
"11766","MS Zaandam Cruise Ship",2020-05-06,106,9,0,2,0,0,0,7,NA,NA,NA,40,36
"11767","Comoros",2020-05-06,106,8,5,1,1,0,0,7,0.9,0.6,0.8,7,1
"11768","Mauritania",2020-05-06,106,8,0,1,0,6,0,1,0.2,0,0,54,38
"11769","Papua New Guinea",2020-05-06,106,8,0,0,0,8,0,0,0.1,0,0,48,0
"11770","Bhutan",2020-05-06,106,7,0,0,0,5,0,2,0.9,0,0.3,62,0
"11771","Western Sahara",2020-05-06,106,6,0,0,0,5,0,1,1,0,0.2,32,0
